Alice (5) and Bob (5) are going to play 100 games!
   Game     Winner    Rounds  
    1       Alice      212    
    2        Bob        90    
    3        Bob       220    
    4       Alice      384    
    5        Bob       7421   
    6        Bob       1244   
    7        Bob        66    
    8       Alice      4067   
    9       Alice       26    
    10      Alice      140    
    11      Alice      213    
    12       Bob       7120   
    13       Bob        78    
    14       Bob       137    
    15       Bob       1444   
    16       Bob       1062   
    17       Bob       330    
    18       Tie      10000   
    19       Bob       174    
    20       Bob       407    
    21       Bob       4255   
    22       Tie      10000   
    23       Bob       1487   
    24       Tie      10000   
    25       Bob       7492   
    26       Bob       773    
    27       Bob       4937   
    28       Tie      10000   
    29       Bob       448    
    30       Bob       2232   
    31       Bob       1870   
    32       Bob       877    
    33       Tie      10000   
    34       Tie      10000   
    35       Tie      10000   
    36       Tie      10000   
    37       Tie      10000   
    38       Tie      10000   
    39       Tie      10000   
    40       Tie      10000   
    41       Tie      10000   
    42       Tie      10000   
    43       Tie      10000   
    44       Tie      10000   
    45       Tie      10000   
    46       Tie      10000   
    47       Tie      10000   
    48       Tie      10000   
    49       Tie      10000   
    50      Alice      473    
    51      Alice      1955   
    52      Alice       66    
    53      Alice      280    
    54      Alice      728    
    55      Alice      291    
    56      Alice      958    
    57      Alice      5241   
    58      Alice      2621   
    59      Alice      385    
    60      Alice      122    
    61      Alice      194    
    62      Alice       38    
    63      Alice       26    
    64      Alice      261    
    65      Alice      867    
    66      Alice      1079   
    67       Tie      10000   
    68       Tie      10000   
    69       Tie      10000   
    70       Tie      10000   
    71       Tie      10000   
    72       Tie      10000   
    73       Tie      10000   
    74       Tie      10000   
    75       Tie      10000   
    76       Tie      10000   
    77       Tie      10000   
    78       Tie      10000   
    79       Tie      10000   
    80       Tie      10000   
    81       Tie      10000   
    82       Tie      10000   
    83       Tie      10000   
    84       Tie      10000   
    85       Tie      10000   
    86       Tie      10000   
    87       Tie      10000   
    88       Tie      10000   
    89       Tie      10000   
    90       Tie      10000   
    91       Tie      10000   
    92      Alice      2562   
    93      Alice      168    
    94      Alice      908    
    95      Alice       97    
    96      Alice      1361   
    97      Alice      562    
    98      Alice      110    
    99      Alice      2430   
   100      Alice       88    
{'Alice': 32, 'Tie': 46, 'Bob': 22}
